arabinose,butyrate,deoxyribose,glucuronic_acid,glycerol,mannitol,mannose,melibiose,propionate,raffinose
0.020004761904761904,0.020884761904761903,0.0,0.017564761904761902,0.026524761904761905,0.0290847619047619,0.020124761904761902,0.0,0.021324761904761905,0.0
0.0181247619047619,0.021324761904761905,0.0,0.0177247619047619,0.027124761904761905,0.029364761904761904,0.016124761904761906,0.0,0.021164761904761905,0.0
0.021124761904761903,0.025044761904761903,0.0,0.0191247619047619,0.025244761904761902,0.024204761904761903,0.017404761904761906,0.0,0.0190447619047619,0.0
0.023684761904761903,0.0193647619047619,0.0,0.0,0.027484761904761904,0.03176476190476191,0.027484761904761904,0.0,0.0183247619047619,0.0
0.0,0.0,0.017220740740740745,0.0,0.03314074074074074,0.035300740740740744,0.021180740740740743,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.02717444444444445,0.028974444444444445,0.027054444444444447,0.0,0.0,0.0
0.0241647619047619,0.0,0.0,0.0,0.026604761904761905,0.0250847619047619,0.023924761904761904,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.021060740740740744,0.01858074074074074,0.022300740740740746,0.02254074074074074,0.0,0.0
0.0,0.0,0.0,0.0,0.027080833333333335,0.026160833333333335,0.023960833333333334,0.0,0.0,0.0
0.0140447619047619,0.0,0.0,0.0,0.023964761904761902,0.026044761904761904,0.0,0.0,0.018524761904761898,0.0
0.022494444444444442,0.0,0.023854444444444445,0.014574444444444444,0.02701444444444445,0.024174444444444446,0.025614444444444447,0.023614444444444445,0.0,0.029094444444444444
0.0,0.026534444444444447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.018494444444444445,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.01740083333333333,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.019574444444444443,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.018400833333333328,0.0,0.0,0.0,0.0,0.0
0.027734444444444444,0.0,0.0,0.0,0.0,0.0,0.022094444444444448,0.0,0.0,0.0
0.020000833333333336,0.0,0.0,0.0,0.025080833333333333,0.022320833333333335,0.021640833333333335,0.0,0.0,0.0
0.0,0.026620740740740743,0.0,0.0,0.0,0.020300740740740744,0.0,0.0,0.020140740740740744,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017560833333333328,0.0
